,ITEM_NM,RATE,CONTENT,TAG,WRITE_DT
112,,5,제거 하나 사고 엄마네 하나 보내드렸어요.. 살짝 녹은거 드셔보셨는데 맛있다고하네요~~먹어보니 어른들이 좋아하실맛이네요.. 선물하기좋을것같아요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240418
113,,5,동쑥이 맛있네요 조금만 덜달았으면 좋겠어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240418
114,,5,제 입맛에는 많이 달지않고 쑥향이 많이 나는것같았어요.. 쑥의 긴 형태도 보여서 좋았어요.. 어른들이 좋아할만한 맛이었어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240418
115,,4,안달다는 후기 봤었는데 제 입맛에는 적당히 달아서 괜찮았어요.떡이 조금 더 쫀득했으면 좋았겠다하는 아쉬움이 있어요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240418
116,,5,저렴히 재구매했어요 맛있어서 친정집도 보내드렸어요~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240417
117,,5,너무 맛있어요. 지난번에 구매해서 먹어보고 또 구매합니다. 더워지면 택배로 못받으니 더워지기전에 더 주문해야겠어요~,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240417
118,,5,아침대용으로 구매했어요. 맛있게 잘 먹을게요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240417
119,,5,"쑥향 진하고, 동부의 달콤한 맛이 쑥떡과 아주 잘 어울리네요~ 맛있어요!! 낱개 포장되어 있어서 간편하고, 포장도 귀여워요~~","유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240417
120,,4,맛있어요...많이 달지않아서 좋고 쫀득쫀득 찰지고 맛있네요 식사대용으로 먹으려고 주문했어요...,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240417
121,,5,처음 구매했어요 아직 먹기전인데 넘 기대되네요 맛있게 잘 먹겠습니다!,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240417
122,,4,아침대용으로 먹기좋아요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240417
123,,5,맛있습니다 시어머님께서도 맛있다고 어디서 샀냐고 물어보시네요 ㅎㅎ,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240417
124,,5,얼려두고 하루 두개씩 꺼내두는데 순삭이네요 너무 먹으면 안되는데.... ㅜㅜ,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240416
125,,5,재재구매입니다!맛 있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240416
126,,5,쫄깃하고 부드러우면서 속이꽉찼어요. 요듬 인터넷 냉동떡 계속실패였는데 이번엔 성공입니다. 달지 않고 너무 맛있으!!또 주문할 것 같아요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240415
127,,5,기대이상으로 맛있는 떡입니다. 달지 않은 백앙금과 쑥 향이 가득한 쑥 떡 맛의 조합이 잘 어우러집니다. 쑥 떡을 좋아하시는 어머니께 선물했는데 맛있다고 좋아하셨습니다.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240415
128,,5,떡이 너무 맛나요 자꾸 구매하게 되네요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240413
129,,5,너무 맛있어요 아이들 간식으로 너무 맛나요 다음에 또 구매할꼐요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240413
130,,5,맛있어요 ! 생각보다 담백합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240412
131,,5,좀녹아서와서 얼른 한개 먹어봤어요. 아주 맛있게먹고 고물까지 숟가락으로 싹싹먹었어요. 별로달지않다 하신분도 있던데 제입에는 달아요. 맛있게 잘 먹었습니다. 꽝꽝 다시얼려서 캐나다까지 갖고갈거예요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240412
132,,5,와~ 이 떡 너무너무 맛있는데요^^ 산에 갈때 늘 오메기떡 가지고 가는데 이제 이ㅈ떡으로 갈아타려구요~~,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240412
133,,5,떡 크기더 크고 콩고물도 맛있어요. 쑥향도 적당히 나서 먹기 좋아요.,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240412
134,,5,첫주문이였는데 맛있네요ㅎㅎ,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240412
135,,5,배송이 오래 걸린거빼고 떡은 맛있고 좋아요~~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240412
136,,5,봄되면 꼭 쑥떡이 생각나서 작년에 구입하고 올해도 구입해봤어요.콩고물도 넉넉해서 한개로도 든든해요!,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240411
137,,5,매번사먹었는데 가격이 올라 할인시구매하고있어요,"유통기한아주 넉넉해요,포장적당해요,맛 만족도맛있어요,",20240411
138,,5,달지않고 넘 맛있어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240411
139,,5,콩고물 진짜 맛있어요!,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240410
140,,5,"달콤한 기피소와 고물, 향긋하고 쫄깃한 쑥떡까지 다~~~ 맛있어욤💚","유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240409
141,,5,쑥향기 좋고 떡이 부드러워요. 이런 스타일 떡이 잘 없어서 맛있게 먹었어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240409
142,,5,콩고물 많고 달지 않고 맛있네요. 완전해동하면 질감이 좀 물컹해서 살짝 덜 해동해서 먹는게 개인적으로는 더 맛있었어요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240407
143,,5,아침 대용으로 먹고 있는데 부드럽고 달지 않아서 좋아요. 잘먹고 있습니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240407
144,,5,맛있게 먹고 있어요 추천합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240406
145,,5,아주 맛있어요 강추,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240405
146,,5,먹어보니 많이 달지 않고 쑥향이 은은하게 나네요. 맛있어요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240405
147,,5,먹어보고 맛있어서 추가 주문했어요~ 배송도 빠릅니다^^,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240405
148,,5,너~~ 무맛있네요 밥대신 떡입니다요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240404
149,,5,포장도 꼼꼼하고 뜯었을때 쑥 향이 올라와요 고물이 많이 묻어있고 달지 않고 쫀득쫀득해서 아주 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240404
150,,5,이번에 주문할 때 냉동실에 두고 먹으려고 넉넉히 주문했습니다.. 지난 번에 친정에도 보내드렸는데.. 엄마께서도 맛있다시며 금방 다 드셨다고 하시더라고요.. 다음에 또 보내드려야겠어요😄,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240404
